,ponto_id,lat_pred,lon_pred,indoor
0,0,-8.055605,-34.951728,True
1,3,-8.055605,-34.951728,True
2,8,-8.055605,-34.951728,True
3,10,-8.055605,-34.951728,True
4,12,-8.055605,-34.951728,True
5,14,-8.055605,-34.951728,True
6,17,-8.055605,-34.951728,True
7,19,-8.055605,-34.951728,True
8,23,-8.055605,-34.951728,True
9,29,-8.055605,-34.951728,True
10,30,-8.055605,-34.951728,True
11,31,-8.055605,-34.951728,True
12,33,-8.055605,-34.951728,True
13,36,-8.055605,-34.951728,True
14,37,-8.055605,-34.951728,True
15,39,-8.055605,-34.951728,True
16,41,-8.055605,-34.951728,True
17,46,-8.055605,-34.951728,True
18,47,-8.055605,-34.951728,True
19,48,-8.055605,-34.951728,True
20,50,-8.055605,-34.951728,True
21,56,-8.055605,-34.951728,True
22,58,-8.055605,-34.951728,True
23,59,-8.055605,-34.951728,True
24,61,-8.055605,-34.951728,True
25,65,-8.055605,-34.951728,True
26,68,-8.055605,-34.951728,True
27,69,-8.055605,-34.951728,True
28,70,-8.055605,-34.951728,True
29,73,-8.055605,-34.951728,True
30,76,-8.055605,-34.951728,True
31,79,-8.055605,-34.951728,True
32,80,-8.055605,-34.951728,True
33,81,-8.055605,-34.951728,True
34,87,-8.055605,-34.951728,True
35,88,-8.055605,-34.951728,True
36,91,-8.055605,-34.951728,True
37,92,-8.055605,-34.951728,True
38,93,-8.055605,-34.951728,True
39,95,-8.055605,-34.951728,True
40,96,-8.055605,-34.951728,True
41,99,-8.055605,-34.951728,True
42,100,-8.055605,-34.951728,True
43,101,-8.055605,-34.951728,True
44,102,-8.055605,-34.951728,True
45,103,-8.055605,-34.951728,True
46,104,-8.055605,-34.951728,True
47,106,-8.055605,-34.951728,True
48,107,-8.055605,-34.951728,True
49,108,-8.055605,-34.951728,True
50,111,-8.055605,-34.951728,True
51,118,-8.055605,-34.951728,True
52,119,-8.055605,-34.951728,True
53,122,-8.055605,-34.951728,True
54,131,-8.055605,-34.951728,True
55,132,-8.055605,-34.951728,True
56,135,-8.055605,-34.951728,True
57,144,-8.055605,-34.951728,True
58,149,-8.055605,-34.951728,True
